course,institution,url,admission req,language req,deadline
European Doctorate in Law & Economics (EDLE),Universität Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4054/,"Academic admission requirements include a Master's degree (or German ""Diplom"") in law or economics, or an equivalent university degree. Preference will be given to candidates with a background in law and economics.","A certificate of proficiency in English (FCE, CAE, CPE, BEC, British Chamber of Commerce, Trinity College, TOEFL, IELTS) is required in the event that the applicant's native language is not English.
Please check the EDLE website for details.
Only applicants who studied for a period of at least two and a half years in the following countries do not need to submit a certificate: UK, USA, Canada (except for Quebec), Australia, New Zealand, Ireland, and South Africa. All other applicants have to submit a certificate of English proficiency.","The application deadline is usually in mid-January. Please check the EDLE website for the specific date.
(Application period: November to January)"
Forest Sciences and Forest Ecology (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3931/,"Academic admissions requirements include an outstanding Master of Science (MSc) degree or its equivalent in forest or environmental sciences, biology, geography, or a related field.
Before applying for admission, students need to find a professor at the University of Göttingen who is willing to supervise their research project. Applications are processed through the online application portal: https://uni-goettingen.de/en/532016.html","Good proficiency in English and/or German is required. Applicants must provide proof of their German (if the dissertation is in German) and/or English skills.
English: TOEFL: iBT at least 81 points, IELTS: band 6, or Cambridge English Scale: min. 160 points
German: DSH 2",No application deadline
Fulda Graduate Centre of Social Sciences,Fulda University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10427/,N/A,N/A,N/A
Geography (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4400/,"Master's degree and at least 150 ECTS credits in one of the following areas: geography, environmental sciences, agricultural sciences, forest sciences, biology, or social or economic sciences
The confirmation of one potential supervisor from the Institute of Geography to supervise the doctoral thesis is required upon application.
Please see the course website for the entire admission regulations and details about the application procedure: http://www.uni-goettingen.de/en/430860.html","Applicants must provide proof of their English skills, e.g.:
Cambridge Certificate in Advanced English, at least grade ""B""
	Cambridge Certificate of Proficiency in English, at least grade ""C""
	IELTS Academic (International English Language Testing System): at least 6
	TOEFL iBT: at least 80 points
	TOEFL PBT (paper-based): at least 550 points
	CEFR (Common European Framework of Reference): at least level B2 certificate
	UNIcert: at least level III
	successful graduation from an English language study programme
","31 July for the following winter semester
31 January for the following summer semester"
Georg-August University School of Science Göttingen (GAUSS),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4794/,N/A,N/A,N/A
Geoscience PhD,University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7668/,The confirmation of one potential supervisor from the Faculty of Geoscience and Geography to supervise the doctoral thesis is required upon application. Please see the course website for the entire admission regulations and details about the application procedure: https://www.uni-goettingen.de/en/430861.html,"Applicants must provide proof of their English skills, e.g.:
Cambridge Certificate in Advanced English, at least grade ""B""
	Cambridge Certificate of Proficiency in English, at least grade ""C""
	IELTS Academic (International English Language Testing System): at least 6
	TOEFL iBT: at least 80 points
	TOEFL PBT (paper-based): at least 550 points
	CEFR (Common European Framework of Reference): at least level B2 certificate
	UNIcert: at least level III
	successful graduation from an English-language study programme
","University of Göttingen
Dekanat der Fakultät für Geowissenschaften und Geographie
Goldschmidtstr. 3
37077 Göttingen
Germany"
German-French Graduate College Statistical Physics of Complex Systems in Equilibrium and Non-Equilibrium,Leipzig University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4152/,"Typically, a Master's or ""Diplom"" degree in natural sciences","Knowledge of English
Basic knowledge of German would be helpful but is not required.",An Internet connection for Zoom discussions and seminars would be useful.
Global Partnership Network Graduate School,University of Kassel,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7707/,N/A,N/A,N/A
Global Studies with a Special Emphasis on Peace and Security in Africa,Leipzig University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9739/,"An interesting research proposal related to our PhD programme
	academic excellence (study results and quality of higher education institutions)
	motivation, academic potential, and recommendation letters
	match of the previous degree with our programme
	work experience and professional qualification
	language skills

Please note: The research proposal is the single most important document you submit for your application. It has to be of excellent academic quality, showing that you are aware of the current status of research with thorough references to other scholars' work. It further needs to propose an original idea that has not been investigated yet.",English at C1 level,"The application deadline for admission to the winter semester is the end of February each year.
The exact dates can be found on our website: https://www.sozphil.uni-leipzig.de/en/global-and-european-studies-institute/research/doctoral-studies/phd-peace-and-security-in-africa."
GRADE – Goethe Research Academy for Early Career Researchers,Goethe University Frankfurt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5329/,N/A,N/A,N/A
Graduate Academy,University of Kassel,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10355/,N/A,N/A,N/A
Graduate Academy,Heidelberg University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5257/,N/A,N/A,N/A
Graduate College: The Economics of Innovative Change,Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3882/,"To start this programme, you must hold either a ""Diplom"" or an MA/MSc in Economics or Business (incl. Finance). An application is possible before finishing your studies. Please mention in the application when you will finish your studies. A Bachelor's degree or a diploma from a university of applied sciences does not meet the requirements for this programme.
For further information, please visit https://www.gkwiwi.uni-jena.de/PhD+Application.html.","Fluent written and spoken English is required. As an orientation, language level C1 or higher of the Common European Framework of Reference (CEFR) is recommended. Proof of formal language knowledge is not necessary. Language proficiency will be judged in your application and subsequent interviews.","31 March, 30 September"
Graduate Programme in Cellular and Molecular Biology of Plants,University of Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9578/,"MSc degree in Biology, Biochemistry or Agriculture
Acceptance for a PhD position by one of the ZMBP group leaders",English level B2/C1,There is no application deadline for this programme.
Graduate Programme in Labour Market Research of the Institute for Employment Research (IAB) and the School of Business and Economics,FAU Erlangen-Nürnberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4410/,"We expect a Master's degree in social sciences, economics or a related subject, a special interest in and enthusiasm for issues of labour market and occupational research, and personal qualities that promise success in completing the programme.
Preference will be given to dissertation proposals that would profit in a special way from being attached to the Institute for Employment Research (IAB) and from which IAB itself might profit in a special way.
The application has to contain an outline of the project in which, above all, the following must be addressed:
the reasons for selecting the topic and its place in current research
	major problems and issues
	the theoretical approach and methodical considerations regarding implementation
	a work plan/schedule
	bibliography
",Fluent written and spoken English,"The call for applications for new scholarships will be published on the IAB homepage sufficiently in advance. Usually, the application deadline is in mid-March of each year."
Graduate Research School,Brandenburg University of Technology Cottbus-Senftenberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5216/,N/A,N/A,N/A
Graduate School Cluster of Excellence CUI: Advanced Imaging of Matter,Universität Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6287/,N/A,N/A,N/A
Graduate School Empirical and Applied Linguistics,University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4110/,"University degree: Master's or Magister or an equivalent degree (Diplom, Staatsexamen, Maîtrise)
For details regarding applications, see: https://www.uni-muenster.de/Promotionskolleg-Sprachwissenschaft/en/Bewerbung/index.shtml","All students should at least understand written and spoken German and English well enough to be able to follow lectures and to read scientific papers. Should these language skills be missing, intensive language courses should be taken in order to meet these minimum requirements as quickly as possible.
Being able to actively speak both German and English is not mandatory. The course and study requirements, including writing the dissertation, can be met with just one language. ","31 May (winter semester)
30 November (summer semester)"
Graduate School for East and Southeast European Studies,University of Regensburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4463/,"Relevant Master's or equivalent degree with a very good overall grade
Research project proposal related to Eastern or Southeastern Europe, to one of the graduate school's research areas, and to a discipline in which supervision can be offered",Applicants must be able to read and write English fluently and to communicate in an Eastern or Southeastern European language (depending on the respective topic/object of research). German language skills are appreciated. ,"November/December (For exact dates, check our website: https://www.gsoses-ur.de/)"
Graduate School for Geoinformatics,University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4406/,"The formal requirement is a Master's degree. The graduate school hosts doctoral researchers from various backgrounds, such as geoinformatics, computer science, geography, ecology, mathematics, and information systems.",Applicants must provide proof of their English skills: TOEFL 550 (paper-based) or equivalent.,https://www.uni-muenster.de/Geoinformatics/en/Studies/study_programs/PhD/application/index.html
Graduate School Global and Area Studies (GSGAS),Leipzig University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7035/,"If you wish to apply for the PhD programme, you should fulfil the following requirements:
A Master's degree or recognised equivalent from an accredited institution
	Outstanding academic performance
",Excellent English and at least basic German skills,"For the summer semester (i.e., April to September), applications have to be submitted before 1 January.
For the winter semester (i.e., October to March), applications have to be submitted before 1 July."
Graduate School Language & Literature Munich,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3766/,"An excellent degree (Master of Arts (with thesis), Magister Artium, Diplom, Staatsexamen, Maîtrise, Laurea, etc.) in one of the subjects associated with the relevant doctoral programme","Sufficient knowledge of at least two, preferably three European languages, German being one of them","Varies, please check our website"
Graduate School Life Science Engineering,Technical University of Darmstadt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6547/,"The prerequisite for the successful application is a Master's degree in a life science discipline (e.g. molecular biology, chemistry, physics, electrical engineering, mechanical engineering, synthetic biology, material science, computer science, micro- and nanotechnology) from a recognised academic institution and the acceptance as a PhD student by one of the research groups associated to the programme. All admission requirements are listed in detail here.","A proof of adequate written and spoken English skills is required for your application if your native language is not English. You can provide proof by:
a TOEFL certificate (minimum score requirements: paper based 570 (PBT), computer based 230 (CBT), internet based 88 (iBT))
	an IELTS certificate (minimum band score requirements: 6.5)
	UNIcert III certificate
	a Cambridge Advanced English certificate (CAE, Grade C1)
	a test of English for international communication certificate (TOEIC, minimum score requirements: 792)
	a suitable certificate from your faculty or supervisor if you participated in a Master's programme in which all lectures were in English or German
	If you received a MSc degree from a university of an EU member state or an EU affiliated member state, you are exempted from providing an English language certificate. Your English skills will be evaluated during the interview process, but you have to add a statement that you will provide proof of your language proficiency during the interview.
","Application track I (joint call): updated information for the next call will be announced here in due time.
	Application track II (open positions): the deadline depends on the respective advertised open positions.
"
Graduate School Life Science Munich: From Molecules to Systems (LSM),Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5271/,"Requirements include a Master's degree or Bachelor's degree with honours in biology, biochemistry, bioinformatics, biophysics, biotechnology, medicine, or in a related discipline. Requirements for the four-year Bachelor's degree include the following: a written thesis and written or oral final examinations.
It is not necessary to hold the respective degree at the time of application. However, the degree must have been awarded before the doctoral project commences.","Participants have to be fluent in written and spoken English and should be able to document their proficiency in English. Therefore, a ""Test of English as a Foreign Language"" (TOEFL) or a test by the ""International English Language Testing System"" (IELTS) is strongly advised but is not compulsory.",Annually on 31 October
Graduate School of Biomedical Science (BIOME),University of Duisburg-Essen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6884/,"Requirements include a MSc degree in natural sciences (biology, biochemistry, medical biology, or equivalent study courses) or equivalent tertiary degree (e.g. German ""Diplom"") in biology or related fields with excellent results. Academic experience in biomedical science is advantageous.
Candidates with excellent Bachelor's results may be considered for the PhD programme without being obliged to do Master's studies. The decision rests with the Faculty Board and the supervisor.","Applicants must provide proof of their English skills (university level). Complete written and spoken fluency in the English language is essential. Fluency in German is an advantage, but not necessary.",No application deadline
Graduate School of East Asian Studies (GEAS),Freie Universität Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6113/,"Master's degree (MA/MSc, etc.) in Chinese Studies, Japanese Studies, Korean Studies with a social science background or Political Science, Business or Economics, Law, History, or Cultural Studies with a focus on East Asia. A BA fast-track option is possible.","Applicants must provide proof of their English skills (C1) as well as skills in one of the following East Asian languages: Chinese, Japanese, or Korean (B2).
- English: TOEFL 100 or IELTS 7.0
- Chinese: HSK 5
- Japanese: JLPT N2
- Korean: TOPIK 4","All applicants, including CSC applicants: 15 November for the following winter semester
The application portal by Dahlem Research School is open between 15 September and 15 November at https://www.drs.fu-berlin.de/"
Graduate School of Economic and Social Sciences (GESS),University of Mannheim,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5483/,N/A,N/A,N/A
Graduate School of Excellence Advanced Manufacturing Engineering in Stuttgart (GSaME),University of Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4014/,"An engineering (mechanical or electrical), information or physical science, or business administration university degree is mandatory (""Diplom"" or Master's degree).
	Written personal statement (motivation and background)
	Letters of recommendation from two well-known professors
	Online application is required.
	Proof of English C1 and German C1 language proficiency
	A Master’s or equivalent university degree in the field of the research topic according to § 3 Abs. 1 Nr. 1 of the Promotionsordnung (doctoral regulations of the University of Stuttgart)
	Conformance to the requirements of the doctoral regulations of the University of Stuttgart in the relevant version
","Applicants must provide proof of their German and English skills.
German: TestDaF TDN5 minimum
	English: min. IELTS 7.0 / TOEFL (minimum 102 iBT TOEFL; 255 CBT TOEFL; 575 PBT TOEFL)
",Please look at our website for the current application deadlines.
Graduate School of Life Sciences (GSLS),Julius-Maximilians-Universität Würzburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5418/,N/A,N/A,N/A
Graduate School of Quantitative and Molecular Biosciences Munich (QMB),Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4441/,"Master's degree in any relevant discipline: biochemistry, biophysics, biomedical sciences, bioinformatics, experimental and theoretical biophysics, (physical) chemistry, and applied mathematics; two letters of recommendation and a proof of English proficiency. See this link for more details: https://qbm.genzentrum.lmu.de/application/requirements/.","Applicants must provide proof of English proficiency (IELTS, TOEFL, comparable certificates, confirmation from previous academic institution, etc.).","For current information, please visit: https://qbm.genzentrum.lmu.de/application/"
Graduate School of SC SimTech,University of Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9582/,N/A,N/A,N/A
Graduate School of Systemic Neurosciences,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4019/,"Applicants must hold an MSc or equivalent degree in biology, psychology, medicine, physics, or related fields. Exceptionally qualified students holding a Bachelor's degree can apply for the PhD fast-track programme.","English is the lingua franca of the programme for both instruction and research, thus a good command of English is required for participation.",Annually on 15 February
Graduate School of the Social and Behavioural Sciences (GSBS),University of Konstanz,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4424/,"Applications are welcome from highly motivated graduates or pending graduates with an outstanding Master’s degree or equivalent, which is relevant to one or more of the following disciplines or specialisations of the Graduate School of the Social and Behavioural Sciences (GSBS):
Disciplines
A1. Psychology
A2. Statistics
B1. Linguistics
B2. Sociology
C1. Economics
C2. Politics and Public Administration
Specialisations
D. Decision Sciences
E. Inequality
Further information on how to apply.","Proof of English proficiency via one of the following English language tests is required for applicants whose native language is not English or who have not previously studied at a higher education institution, which has English as its official language of instruction:
Cambridge Certificate of Proficiency (minimum: grade C)
	IELTS (minimum: band 6.5)
	TOEFL (minimum: 92 Internet-based points)

Alternatively, your Master’s transcript may provide proof that you have obtained at least half of the credits required for your Master’s studies in modules taught in English.",15 April for admission in October (winter semester)
Graduate School Practices of Literature (GSPoL),University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4098/,"Admission is contingent on previous academic performance (typically a Master's degree in literary studies with an above-average GPA), the quality of the research proposal, and foreign language skills. Application documents include a degree certificate, proof of language skills, a curriculum vitae, an abstract and project proposal, a letter of motivation, and two letters of recommendation (applicants with a Bachelor’s degree must submit three reference letters). The applicant's academic potential and language skills are further assessed in an interview with the admissions committee.
Please refer to our website for further information on the application process.","Applicants should be able to understand written and spoken German and English and to actively speak at least one of these languages. Accordingly, German and English language skills are required (level C1 in one language and level B1 in the other language at the time of admission; by the end of the programme, students must have moved from B1 to B2). Further subject-specific language skills may be acquired during the PhD programme. Please consult our website or contact the GSPoL coordinator for further information.","Applications for the winter semester (start date: 1 October): 31 May (regular deadline) or 31 December of the previous year (for available DAAD scholarships starting in 2026)
	Applications for the summer semester (start date: 1 April): 30 November of the previous year
"
"Graduate School Science, Medicine and Technology (OLTECH)",Carl von Ossietzky University of Oldenburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5269/,N/A,N/A,N/A
GraduateCenter LMU Munich,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5224/,N/A,N/A,N/A
"Göttingen Graduate Center for Neurosciences, Biophysics, and Molecular Biosciences",University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5221/,N/A,N/A,N/A
Hannover Biomedical Research School,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5249/,N/A,N/A,N/A
Heidelberg Biosciences International Graduate School (HBIGS),Heidelberg University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3950/,"The minimum requirement for admission into the graduate school is a university degree from an internationally accredited university which would allow the applicant to enter a PhD programme in biosciences in the country where the degree was awarded. Depending on the country, this may be a Master's, ""Licentiate"", or ""Diplom"" in natural sciences or equivalent.","All candidates must be proficient in English.
For non-native speakers, proficiency must be confirmed by a TOEFL (paper-based: 570+, computer-based: 230+, Internet-based: 90+), IELTS (band 6.5+), or the Cambridge Certificate in Advanced English (CAE).
Candidates who took part in an undergraduate programme in which the language of instruction was English are asked to provide a suitable certificate from their faculty.",Open PhD positions are advertised weekly and submission of applications is possible throughout the year. Admission rounds will take place regularly.
HEiKA Graduate School on Functional Materials,Karlsruhe Institute of Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6543/,N/A,N/A,N/A
Helmholtz Interdisciplinary Graduate School for Environmental Research,Helmholtz Centre for Environmental Research - UFZ,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4020/,"Exceptional Master's degree in a discipline relevant to environmental research (natural, social, or engineering sciences).
Please note that in addition to participating in HIGRADE, doctoral researchers must be enrolled in the university/faculty that will confer the doctoral degree, and please consider the current doctoral regulations of this faculty.","Excellent English skills are a prerequisite. A basic level of German may be beneficial, depending on the specific project.","Applications for open doctoral positions are accepted throughout the year.
All doctoral researchers at the UFZ are part of our HIGRADE graduate school. Therefore, if you would like to become a member of HIGRADE, the first step is to apply for a doctoral position at the UFZ. Please check for open positions here (positions in English) or here (positions in German).
If you are on a scholarship, please contact the precise field/department you are interested in beforehand (see overview here). Once you have an adviser and are accepted as doctoral researcher at the UFZ, you will be involved in our graduate programme."
Heritage Studies,Brandenburg University of Technology Cottbus-Senftenberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8350/,"Applicants must possess a MSc (or equivalent) in Heritage Studies, Architecture, Building and Conservation, Urban/Regional Planning, or a related field in Social Sciences, Law, and Political Science. Eligible candidates should have achieved a final grade of at least 2.3 (according to the German grading system).
The application includes a comprehensive research proposal. While you have the autonomy to choose the research topic for your proposal, it is essential to ensure that the research proposal topic aligns with the research areas of the PhD programme.","A certificate of proficiency in English must be provided except for graduates of English language Master's programmes in Germany and these countries.
Accepted tests and minimum scores include:
TOEFL with a minimum score of 550 points (paper-based), 213 points (computer-based), or 79 points (Internet-based)
	Cambridge Advanced English test (minimum grade B)
	Cambridge Certificate of Proficiency (minimum grade C)
	IELTS Academic (minimum 6.5)
","There are no application deadlines; applications can be submitted throughout the year.
For enrolment in the summer semester (starting 1 April), we recommend applying by 1 November. For enrolment in the winter semester (starting 1 October), we recommend applying by 1 May."
Integrated Graduate College of the SFB/Transregio 185 (Bonn-Kaiserslautern): Open System Control of Atomic and Photonic Matter (OSCAR),RPTU University of Kaiserslautern-Landau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5320/,"Master's degree or German Diploma (""Diplom"")",No formal requirements,"PD Dr Axel Pelster
Department of Physics
RPTU University of Kaiserslautern-Landau
P.O. Box 3049
67653 Kaiserslautern
Germany
axel.pelster@physik.uni-kl.de"
Integrated Graduate School Solvation Science (iGSS),Ruhr-Universität Bochum,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7136/,"A top-level Master's or Bachelor's degree (A-grade, at least 1.5 in the German grading system) in chemistry, physics, biochemistry, engineering, or a related discipline",English (at least level B2),"Applications are accepted year-round and evaluated every month. Please visit the RESOLV Jobs and Training website for details: https://www.solvation.de/career/jobs-training/.
15 May for Track II applicants with only a Bachelor's degree applying to a preparatory component, which starts in the winter semester (1 October)"
Integrative Research Institute on Transformations of Human-Environment Systems Graduate Programme (IRI THESys),Humboldt-Universität zu Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4496/,"Excellent Master's degree in agricultural sciences, earth and environmental sciences, ecology, economics, geography, philosophy, political science, social anthropology or related disciplines
Please only send an application to the coordinator if the following requirements are met:
1. Doctoral researchers must be enrolled at a university with a thesis topic within the scope of at least one of the research areas of IRI THESys.
2. Your supervisor is an IRI THESys member.
3. Funding is secured for min. two years.
You will find the list of documents needed for the application here: https://www.iri-thesys.org/education/graduate-program/application/","Very good English language skills
German language skills are not required.","Moodle, Zoom, etc."
International Doctoral Programme in Computational Neuroscience,Technische Universität Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4121/,"Students with an interest in computational neuroscience and with a strong mathematical background are welcome to apply if they hold an MSc or equivalent degree at the start of the programme.
We strongly advise you to check whether your degree entitles you to gain a doctoral degree in Germany.","A copy of a TOEFL test or equivalent certificate of proficiency in English must be provided (non-native speakers only).
Alternatively, coursework in English either at your home university or at a university abroad is acceptable as proof of proficiency in English.",15 March for the following winter semester
International Doctoral Programme – Environment Water (ENWAT),University of Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3783/,"""Good"" or better MSc, Dipl-Ing, or equivalent ""Diplom"" as accepted by the University of Stuttgart and a profound knowledge of the fields of environment and water, or a relevant dissertation project
	Very good knowledge of English (e.g. TOEFL, IELTS test)
	Consent from a member of the faculty to supervise the thesis (the contacts will be established by ENWAT)
	Two letters of reference by professors who know the candidate well enough to judge her or his ability to perform a doctoral research OR one letter by an ENWAT faculty member willing to supervise the candidate's thesis
","Adequate knowledge of the English language is required for admission to the programme. This prerequisite can be fulfilled through the submission of:
TOEFL test results indicating a minimum score of 213 points (CBT)
	IELTS test results indicating an Academic Band score of 6.5
	Proof that the candidate's native language is English, or
	Proof that the candidate has successfully completed a university course (e.g. BSc or MSc) taught in English

International students without prior knowledge of the German language must attend intensive German language courses preceding the programme.",None
"International Doctorate Programme in Philology — Practices of Pre-Modern Cultures, Global Perspectives and Future Concepts",Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7651/,"Successful degree in one of the participating disciplines (Master's, ""Diplom"" or teaching degree)","Fluency in German or English. If you do not yet speak German, you are expected to acquire basic skills during the first year of the programme.",https://www.en.idk-philologie.uni-muenchen.de/index.html
International Giessen Graduate Centre for the Life Sciences (GGL),Justus Liebig University Giessen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5325/,N/A,N/A,N/A
International Graduate Centre for the Study of Culture (GCSC),Justus Liebig University Giessen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5305/,N/A,N/A,N/A
International Graduate Centre for the Study of Culture (GCSC),Justus Liebig University Giessen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9576/,"Applicants should either hold a ""Diplom"", ""Magister"", ""Erstes Staatsexamen"" or Master's degree if obtained in Germany or a university degree equivalent to the German Master of Arts with thesis if obtained abroad. Furthermore, sound knowledge in either English or German is required.","For most disciplinary areas, the language of the dissertation and the dissertation defence is either German or English. The PhD Committee may accept the language of your respective discipline (i.e., French, Italian, Spanish, Portuguese) as well.
If the language of the dissertation is other than German, sufficient skills in German do not need to be proven. The GCSC reimburses fees for language courses and training in German and English. We would warmly advise you, however, to acquire a basic knowledge of German before coming to Giessen.",The deadline for scholarship applications is 1 February every year.
International Graduate Programme Medical Neurosciences,Charité - Universitätsmedizin Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4035/,"Master's degree or equivalent in a relevant discipline such as neuroscience, medicine, natural sciences, life sciences or psychology","Applicants have to provide proof of proficiency in English through the TOEFL, IELTS or an equivalent test. English native speakers do not need to provide a language test. There is also no test necessary if the main language of the applicant's current study programme is English.","15 January, 15 May and 15 September of each year
See the website for details: https://medical-neurosciences.charite.de/en/application_admission/application_doctoral_program/all_other_phd_applicants/."
International Graduate School for Dynamics in Logistics (IGS),University of Bremen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4106/,"The IGS addresses early-stage researchers from all over the world who hold a Master's degree equal to a German university level degree (""Master"" or ""Diplom"", with thesis) in one of the following fields:
Production Engineering
	Industrial Engineering
	Economics
	Electrical Engineering
	Physics
	Computer Science
	Mathematics
	Logistics
	Law

The applicant must have graduated with exceptionally good marks. The decisive element of the application is the preliminary research proposal, which should describe a research question, research methods and literature references. A research plan is mandatory as well. Application documents will be evaluated with regard to the applicant's qualification for doctoral studies at the University of Bremen. Additionally, the proposed topic should align with the research spectrum of LogDynamics and be related to a research topic of an active professor within the research cluster.
The complete application guideline is available online at http://www.logistics-gs.uni-bremen.de/173.html?&L=1.","Candidates should have a very good command of English and be familiar with basic German.
Minimum requirements (English):
TOEFL: 600 points on the written TOEFL, 250 on the computer-based TOEFL and 95 on the TOEFL iBT. All of them are to be supplemented by results of the Test of Written English (academic TWE). The minimum required score is 5.0.
IELTS: Band 7.0, with a minimum of 6.0 for each (academic) module
Note: Test results may not be older than 24 months.
Candidates who obtained a degree of higher education in an English-speaking country are not required to present test results, but they do have to provide proof of their English language educational background.",It is possible to apply at any time.
International Graduate School GFL – German as a Foreign Language,University of Education Freiburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9110/,"A Bachelor’s degree (or equivalent) with a minimum rating of good (or equivalent), and a Master’s degree (or equivalent) with a minimum rating of good (or equivalent), from a university recognised by the Ministry of Higher Education and Scientific Research.
	He/she should prove that his/her study was regular for both the Bachelor’s and Master’s degrees.

Additional requirements:
Demonstrating interest in the German language and culture, and in teaching German language and culture.
	Other criteria upon the suggestion of the Department Council and a recommendation of Graduate Studies Council and a Deans Council decision, such as academic behaviour.
	A 10–20-page exposé detailing a clearly defined and manageable research question, a summary of the state-of-the-art status of research in the appropriate field, the proposed methodology, an outlook on the estimated results, a list of crucial references, and a timeline.
	A Master’s thesis rated very good or excellent, or comparable scientific work (articles, research papers, conference papers, etc.).
	German language skills to be verified through the official German language exams TestDaF 4x4 (or 16, cumulative).
	Successful completion of the oral readiness exam.
",Academic German Language Proficiency (TestDaf 4x4),Please submit your application as a PDF file via e-mail.
International Helmholtz Research School for Nanoelectronic Networks (NanoNet),Helmholtz-Zentrum Dresden-Rossendorf,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4391/,"The programme is open to students who hold (or are about to earn) a Master's degree (or equivalent) in physics, chemistry, electrical engineering or materials science.","All applicants must provide proof of adequate proficiency in English (if not one's mother tongue).
If the applicant has attended a university or college where English is the language of instruction, it is sufficient to provide a certificate attesting that English is the official language of instruction at that institution.
If English was not the official language of instruction, the applicant must provide one of the following language certificates:
Results of a Test of English as a Foreign Language (TOEFL)
	Cambridge Assessment English
	Results of an Academic Test of the International English Language Testing System (IELTS)
",At any time to the principal investigators directly
